numClub,AdressePostale,Latitude,Longitude
535046,2 36160 POULIGNY NOTRE DAME,46.4840391,2.0068398
526142,36300 POULIGNY ST PIERRE,46.681106,1.040087
524466,36120 PRUNIERS,46.789005,2.048633
505293,6 PLACE DES ECOLES 36260 REUILLY,47.0849763,2.0422985
525834,36120 SASSIERGES ST GERMAIN,46.769407,1.89524
526412,36160 SAZERAY,46.429379,2.053588
549286,1 RUE DE LA MAIRIE 36100 SEGRY,46.8902195,2.0845388
504911,36120 ST AOUT,46.731852,1.965447
590693,15 rue roland meignien 36370 PRISSAC,46.5106645,1.3074627
582096,ROUTE DE BOISSIERE 36170 ST BENOIT DU SAULT,46.443948,1.397098
582133,4 PLACE DE L'ÉGLISE 36230 ST DENIS DE JOUHET,46.5310019,1.8689715
504857,Place de l'Hôtel de Ville 36800 ST GAULTIER,46.635521,1.423281
530844,36500 ST LACTENCIN,46.897804,1.4924789
852943,BEL AIR 36250 ST MAUR,46.802013,1.633306
504912,16 rue de l'Abbé Trinquart 36250 ST MAUR,46.8067527,1.6391506
549977,LE BOURG 36190 SAINT PLANTAIRE,46.45579,1.668164
521303,36100 ST VALENTIN,46.9256315,1.9185741
528294,36310 TILLY,46.406082,1.200776
560595,23 RUE DE LA MAIRIE 36220 TOURNON ST MARTIN,46.735577,0.9531883000000001
581422,MAIRIE DE VALENCAY 36600 VALENCAY,47.1623138,1.5662367
504885,RUE DE LA CAIGNAUDERIE 36150 VATAN,47.074794,1.816891
564132,36330 VELLES,46.688926,1.65052
505008,le bourg 36500 VENDOEUVRES,46.8021379,1.3579041
518706,36600 VEUIL,47.12083699999999,1.525765
517968,36600 VICQ SUR NAHON,47.107346,1.53012
551202,2 PLACE JEAN JAURES 36320 VILLEDIEU SUR INDRE,46.84729710000001,1.5373162
560141,2 Rue Jean Paul Thibault 36320 VILLEDIEU SUR INDRE,46.8472906,1.5373416
504895,1 place Jean-Paul Thibauld 36320 VILLEDIEU SUR INDRE,46.8473596,1.537955
854442,MAIRIE 36320 VILLEDIEU SUR INDRE,46.8472906,1.5373416
536069,36500 VILLEGOUIN,46.962708,1.372582
515924,rue delalande 36600 VILLENTROIS,47.1926655,1.4608415
554211,STADE MUNICIPAL 36250 VILLERS LES ORMES,46.86583770000001,1.6334024
540451,LES MARDELLES 36110 VINEUIL,46.9223519,1.6666751
500358,L'ILE D'OR 37400 AMBOISE,47.415517,0.9830112000000001
535309,37800 ANTOGNY LE TILLAC,46.978499,0.5779420000000001
580508,ROUTE DU NEMAN 37420 AVOINE,47.2363551,0.2361054
500386,3 Allée Chalmin 37190 AZAY LE RIDEAU,47.26177,0.4657399999999999
554357,4 impasse de La Haye 37510 BALLAN MIRE,47.3317484,0.614065
529933,les champs du chapitre 37140 BENAIS,47.2932496,0.2011788
582647,39 RUE GAMBETTA 37150 BLERE,47.3261,0.9942552000000001
563699,11 AVENUE JEAN CAUSERET 37140 BOURGUEIL,47.2783576,0.168469
505083,37140 BOURGUEIL,47.282487,0.168611
510558,1 place du 8 Mai 37130 BREHEMONT,47.2958017,0.3555172
526302,37160 LA CELLE ST AVANT,47.021908,0.604533
520240,23 AVENUE DE L'HOMMELAIE 37170 CHAMBRAY LES TOURS,47.32932170000001,0.7159871
511975,37120 CHAMPIGNY SUR VEUDE,47.0668859,0.323119
523088,37210 CHANCAY,47.451049,0.872756
528289,19 RUE DE LA MAIRIE 37390 CHANCEAUX SUR CHOISILLE,47.4727386,0.7020364
520957,37530 CHARGE,47.432341,1.030288
500375,36 RUE GAMBETTA 37110 CHATEAU RENAULT,47.5986366,0.9151914999999999
542351,37150 LA CROIX EN TOURAINE,47.33748900000001,0.989941
552056,37380 CROTELLES,47.54275,0.836911
549551,1 RUE BALZAC 37220 CROUZILLES,47.1244981,0.4603992999999999
590283,01 Avenue F.MITTERRAND 37160 DESCARTES,46.9819508,0.685025
515724,1 rue alfred de vigny 37240 ESVES LE MOUTIER,47.0410556,0.9072486
516870,37320 ESVRES,47.284385,0.7852699999999999
538487,37600 FERRIERE SUR BEAULIEU,47.138725,1.03656
521070,ALLEE DE LA POUPARDIERE 37230 FONDETTES,47.4019139,0.6003326999999999
518048,37460 GENILLE,47.184903,1.0932679
512272,18 RUE DU LAVOIR 37340 GIZEUX,47.39162169999999,0.1967177
550075,37350 LE GRAND PRESSIGNY,46.92061899999999,0.803318
520956,37110 LES HERMITES,47.664534,0.751185
505334,Route de Mouzilly 37420 HUISMES,47.2214593,0.2732787
520708,37140 INGRANDES DE TOURAINE,47.282328,0.266382
852747,RUE JOSEPH CUGNOT - B.P. 321 37303 JOUE LES TOURS CEDEX,47.342976,0.636116
553790,2 RUE DU CLOS NEUF 37300 JOUE LES TOURS,47.3544784,0.6567071999999999
534021,Route des maisons neuves 37300 JOUE LES TOURS,47.3251928,0.6548621
